4,9284,"{'formula': [['u', 'a', 'u', 'a', 'a', 'u', 'a', 'u'], None], 'formula_name': None, 'count': 44}"
4,9348,"{'formula': [['u', 'a', 'u', 'a', 'a', 'u', 'a', 'u'], None], 'formula_name': None, 'count': 45}"
4,9364,"{'formula': [['u', 'a', 'u', 'a', 'a', 'u', 'a', 'u'], None], 'formula_name': None, 'count': 46}"
4,10244,"{'formula': [['u', 'a', 'u', 'a', 'a', 'u', 'a', 'u'], None], 'formula_name': None, 'count': 47}"
4,10260,"{'formula': [['u', 'a', 'u', 'a', 'a', 'u', 'a', 'u'], None], 'formula_name': None, 'count': 48}"
4,10308,"{'formula': [['u', 'a', 'u', 'a', 'a', 'u', 'a', 'u'], None], 'formula_name': None, 'count': 49}"
4,10372,"{'formula': [['u', 'a', 'u', 'a', 'a', 'u', 'a', 'u'], None], 'formula_name': None, 'count': 50}"
4,10388,"{'formula': [['u', 'a', 'u', 'a', 'a', 'u', 'a', 'u'], None], 'formula_name': None, 'count': 51}"
4,16388,"{'formula': [['u', 'a', 'u', 'a', 'a', 'u', 'a', 'u'], None], 'formula_name': None, 'count': 52}"
4,16404,"{'formula': [['u', 'a', 'u', 'a', 'a', 'u', 'a', 'u'], None], 'formula_name': None, 'count': 53}"
4,16420,"{'formula': [['u', 'a', 'u', 'a', 'a', 'u', 'a', 'u'], None], 'formula_name': None, 'count': 54}"
4,16516,"{'formula': [['u', 'a', 'u', 'a', 'a', 'u', 'a', 'u'], None], 'formula_name': None, 'count': 55}"
4,16532,"{'formula': [['u', 'a', 'u', 'a', 'a', 'u', 'a', 'u'], None], 'formula_name': None, 'count': 56}"
4,17412,"{'formula': [['u', 'a', 'u', 'a', 'a', 'u', 'a', 'u'], None], 'formula_name': None, 'count': 57}"
4,17428,"{'formula': [['u', 'a', 'u', 'a', 'a', 'u', 'a', 'u'], None], 'formula_name': None, 'count': 58}"
4,17444,"{'formula': [['u', 'a', 'u', 'a', 'a', 'u', 'a', 'u'], None], 'formula_name': None, 'count': 59}"
4,17540,"{'formula': [['u', 'a', 'u', 'a', 'a', 'u', 'a', 'u'], None], 'formula_name': None, 'count': 60}"
4,17556,"{'formula': [['u', 'a', 'u', 'a', 'a', 'u', 'a', 'u'], None], 'formula_name': None, 'count': 61}"
4,18436,"{'formula': [['u', 'a', 'u', 'a', 'a', 'u', 'a', 'u'], None], 'formula_name': None, 'count': 62}"
4,18452,"{'formula': [['u', 'a', 'u', 'a', 'a', 'u', 'a', 'u'], None], 'formula_name': None, 'count': 63}"
